dryrun,count
20201216_FAO14747_Nanopore0192_JP,2260
20201216_FAO94607_Nanopore0191_JP,3437
20210108_FAO09390_Nanopore0200_SP,1502
20210108_FAO42723_Nanopore0202_SP,3622
20210114_FAO08236_Nanopore0203_SP,2442
20210121_FAO08776_Nanopore0206_SP,2707
20210121_FAO08794_Nanopore0207_SP,3431
20210304_FAP17182_Nanopore0236_MR,1776
20210304_FAP17293_Nanopore0235_JvS,2309
20210304_FAP17332_Nanopore0234_SP,2476
20210304_FAP17546_Nanopore0237_MT,3085
20210312_FAP12562_Nanopore0244_JvS,3022
20210312_FAP15640_Nanopore0242_JvS,2759
20210312_FAP15765_Nanopore0243_JvS,2815
20210312_FAP15875_Nanopore0246_JvS,2812
20210312_FAP17014_Nanopore0245_JvS,2132
20210312_FAP18419_Nanopore0247_JvS,2279
20210319_FAP15598_Nanopore0250_JvS,2943
20210319_FAP15737_Nanopore0252_JvS,2855
20210319_FAP15780_Nanopore0249_JvS,3036
20210319_FAP15862_Nanopore0248_JvS,3585
20210319_FAP18253_Nanopore0251_JvS,3208
20210319_FAP18315_Nanopore0253_JvS,654
20210528_FAT59775_Nanopore0424_JP,1445
20210528_FAT61983_Nanopore0425_JP,472
20211202_FAR67092_Nanopore0345_3_primer_retool_exp1b1_B_AP,2682
20211202_FAR71375_Nanopore0344_3_primer_retool_exp1b1_A_AP,2163
20211215_FAR67015_Nanopore0347_LRLC_Ecoli_PvuII_TH,4172
20211215_FAR71074_Nanopore0346_CRISPR_confirm_3p_cyc_AP,2327
20220115_FAR63500_Nanopore_0353_JvS,586
20220115_FAR66714_Nanopore_0351_JvS,541
20220115_FAR66966_Nanopore_0352_JvS,3428
20220115_FAR69705_Nanopore_0350_JvS,2649
20220115_FAR71041_Nanopore_0354_JvS,3402
20220115_FAR71243_Nanopore_0355_JvS,741
20220115_FAR71555_Nanopore_0348_JvS,503
20220115_FAR71585_Nanopore_0349_JvS,2230
20220119_FAR66750_Nanopore0356_3pNGS_Y223_pilot_B_AP,458
20220119_FAR66963_Nanopore0355_3pNGS_Y223_pilot_A_AP,84
20220127_FAR71068_Nanopore0361_MT8_GFP_EP13A_AP,1161
20220127_FAR71283_Nanopore0359_AP,394
20220127_FAR71443_Nanopore0360_AP,168
20220203_FAR66709_Nanopore0363_JvS,2555
20220203_FAR69553_Nanopore0365_JvS,3159
20220203_FAR69987_Nanopore0364_JvS,2424
20220203_FAR70973_Nanopore0362_JvS,1658
20220208_FAR71395_Nanopore0366_AP,2163
20220301_FAR71533_Nanopore0367_3pNGS_Cip_LNA_AP,427
20220301_FAR71541_Nanopore0368_JP_A11_CRISPR_outout_AP,62
20220315_FAR70798_Nanopore0370_h3pNGS_stdcurve1_0_0_5_AP,236
20220315_FAR71282_Nanopore0372_h3pNGS_stdcurve1_5_10_AP,432
20220315_FAR71526_Nanopore0371_h3pNGS_stdcurve1_1_2_AP,115
20220316_FAR69639_Nanopore0369_JvS,682
20220321_FAR70859_Nanopore0373_h3pNGS_old_primers_LNA_CIP_AP,367
20220324_FAR66713_Nanopore0374_h3pNGS_stdcurve2_0_0_5_AP,811
20220324_FAR67346_Nanopore0375_h3pNGS_stdcurve2_1_2_AP,823
20220324_FAR70811_Nanopore0376_h3pNGS_stdcurve2_5_10_AP,708
20220330_FAR69962_Nanopore0377_SP,1595
20220330_FAR70976_Nanopore0378_SP,1087
20220405_FAQ44706_Nanopore0379_AP,469
20220422_FAR66713_Nanopore0380_AP,409
20220428_FAR71639_Nanopore0381_AP,817
20220428_FAT46279_Nanopore0382_AP,1453
20220503_FAR71252_Nanopore0383_AP,330
20220510_FAT02375_Nanopore0386_JvS,20
20220510_FAT02597_Nanopore0388_JvS,457
