dryrun,count
2019,4328
20200113_FAO09134_Nanopore0171_JvS,3090
20200113_FAO09568_Nanopore0173_JvS,2132
20200113_FAO42653_Nanopore0172_JvS,3425
20200122_FAL35780_Nanopore0032_MT,1429
20200430_FAN25209_Nanopore0085_AP,1619
20200430_FAN33762_Nanopore0084_AP,1498
20200515_FAN49801_Nanopore0096_AP,1549
20200515_FAN49801_Nanopore0097_AP,1564
20200608_FAN48290_Nanopore0109_MT,1155
20200608_FAN49192_Nanopore0110_MT,1344
20200611_FAN48540_Nanopore0112_MT,1694
20200611_FAN49706_Nanopore0111_MT,1787
20200617_FAN48789_Nanopore0119_MT,1202
